–азмер матрицы;Sequential algorithm;Parallel algorithm rows;;;;;;;;
;;2 процессора;;;4 процессора;;;8 процессоров;;
;;¬рем€;”скорение;Ёффективность;¬рем€;”скорение;Ёффективность;¬рем€;”скорение;Ёффективность
1000;0,005565;0,004934;1,13;0,565;0,005481;1,66;0,415;0,003956;4,98;0,623
2000;0,026368;0,014408;1,83;0,915;0,011982;3,12;0,78;0,009496;7,23;0,904
4000;0,096883;0,050664;1,91;0,955;0,046007;3,27;0,818;0,046453;6,19;0,774
5000;0,150704;0,090753;1,66;0,83;0,068579;3,33;0,833;0,06537;7,24;0,905
10000;0,604691;0,351285;1,72;0,86;0,256041;3,75;0,938;0,272579;7,14;0,893
;;;;;;;;;;
–азмер матрицы;Sequential algorithm;Parallel algorithm columns;;;;;;;;
;;2 процессора;;;4 процессора;;;8 процессоров;;
;;¬рем€;”скорение;Ёффективность;¬рем€;”скорение;Ёффективность;¬рем€;”скорение;Ёффективность
1000;0,005589;0,003851;1,45;0,726;0,004975;2,58;0,644;0,002975;5,68;0,71
2000;0,02826;0,016309;1,73;0,865;0,01223;2,97;0,743;0,024947;4,31;0,538
4000;0,091785;0,065376;1,4;0,702;0,043022;3,58;0,895;0,0439;6,87;0,859
10000;0,963314;0,382529;1,76;0,879;0,262079;3,68;0,919;0,273254;7,17;0,896
;;;;;;;;;;
;;;;;;;;;;
–азмер матрицы;Sequential algorithm;Parallel algorithm block;;;;;;;;
;;2 процессора;;;4 процессора;;;8 процессоров;;
;;¬рем€;”скорение;Ёффективность;¬рем€;”скорение;Ёффективность;¬рем€;”скорение;Ёффективность
1000;0,006386;0,005018;1,27;0,636;0,005531;1,93;0,483;0,002681;7,18;0,898
2000;0,03765;0,019105;1,48;0,742;0,012325;3,05;0,763;0,021349;3,5;0,437
4000;0,095224;0,046229;1,97;0,984;0,045141;3,44;0,86;0,054715;5,89;0,737
10000;0,63102;0,34416;1,85;0,924;0,266551;3,75;0,937;0,269057;7,37;0,921
;;;;;;;;;;
